cEE;cH2;cNG;cCO2;cBioCH4;cBiomass;configuration
0.075;0.075;0.035;0.2;0.03;0.03;BioCH4Oxy_CC
0.075;0.075;0.035;0.2;0.05;0.018;BiomassOxy_CC
0.075;0.075;0.035;0.2;0.05;0.03;BiomassOxy_CC
0.075;0.075;0.035;0.2;0.07;0.018;BiomassOxy_CC
0.075;0.075;0.035;0.2;0.07;0.03;BiomassOxy_CC
0.075;0.075;0.035;0.25;0.03;0.018;BiomassOxy_CC
0.075;0.075;0.035;0.25;0.03;0.03;BioCH4Oxy_CC
0.075;0.075;0.035;0.25;0.05;0.018;BiomassOxy_CC
0.075;0.075;0.035;0.25;0.05;0.03;BiomassOxy_CC
0.075;0.075;0.035;0.25;0.07;0.018;BiomassOxy_CC
0.075;0.075;0.035;0.25;0.07;0.03;BiomassOxy_CC
0.075;0.075;0.055;0.075;0.03;0.018;Biomass
0.075;0.075;0.055;0.075;0.03;0.03;BioCH4
0.075;0.075;0.055;0.075;0.05;0.018;Biomass
0.075;0.075;0.055;0.075;0.05;0.03;Biomass
0.075;0.075;0.055;0.075;0.07;0.018;Biomass
0.075;0.075;0.055;0.075;0.07;0.03;Biomass
0.075;0.075;0.055;0.1;0.03;0.018;Biomass
0.075;0.075;0.055;0.1;0.03;0.03;BioCH4
0.075;0.075;0.055;0.1;0.05;0.018;Biomass
0.075;0.075;0.055;0.1;0.05;0.03;Biomass
0.075;0.075;0.055;0.1;0.07;0.018;Biomass
0.075;0.075;0.055;0.1;0.07;0.03;Biomass
0.075;0.075;0.055;0.2;0.03;0.018;BiomassOxy_CC
0.075;0.075;0.055;0.2;0.03;0.03;BioCH4Oxy_CC
0.075;0.075;0.055;0.2;0.05;0.018;BiomassOxy_CC
0.075;0.075;0.055;0.2;0.05;0.03;BiomassOxy_CC
0.075;0.075;0.055;0.2;0.07;0.018;BiomassOxy_CC
0.075;0.075;0.055;0.2;0.07;0.03;BiomassOxy_CC
0.075;0.075;0.055;0.25;0.03;0.018;BiomassOxy_CC
0.075;0.075;0.055;0.25;0.03;0.03;BioCH4Oxy_CC
0.075;0.075;0.055;0.25;0.05;0.018;BiomassOxy_CC
0.075;0.075;0.055;0.25;0.05;0.03;BiomassOxy_CC
0.075;0.075;0.055;0.25;0.07;0.018;BiomassOxy_CC
0.075;0.075;0.055;0.25;0.07;0.03;BiomassOxy_CC
0.075;0.075;0.075;0.075;0.03;0.018;Biomass
0.075;0.075;0.075;0.075;0.03;0.03;BioCH4
0.075;0.075;0.075;0.075;0.05;0.018;Biomass
0.075;0.075;0.075;0.075;0.05;0.03;Biomass
0.075;0.075;0.075;0.075;0.07;0.018;Biomass
0.075;0.075;0.075;0.075;0.07;0.03;Biomass
0.075;0.075;0.075;0.1;0.03;0.018;Biomass
0.075;0.075;0.075;0.1;0.03;0.03;BioCH4
0.075;0.075;0.075;0.1;0.05;0.018;Biomass
0.075;0.075;0.075;0.1;0.05;0.03;Biomass
0.075;0.075;0.075;0.1;0.07;0.018;Biomass
0.075;0.075;0.075;0.1;0.07;0.03;Biomass
0.075;0.075;0.075;0.2;0.03;0.018;BiomassOxy_CC
0.075;0.075;0.075;0.2;0.03;0.03;BioCH4Oxy_CC
0.075;0.075;0.075;0.2;0.05;0.018;BiomassOxy_CC
0.075;0.075;0.075;0.2;0.05;0.03;BiomassOxy_CC
0.075;0.075;0.075;0.2;0.07;0.018;BiomassOxy_CC
0.075;0.075;0.075;0.2;0.07;0.03;BiomassOxy_CC
0.075;0.075;0.075;0.25;0.03;0.018;BiomassOxy_CC
0.075;0.075;0.075;0.25;0.03;0.03;BioCH4Oxy_CC
0.075;0.075;0.075;0.25;0.05;0.018;BiomassOxy_CC
0.075;0.075;0.075;0.25;0.05;0.03;BiomassOxy_CC
0.075;0.075;0.075;0.25;0.07;0.018;BiomassOxy_CC
0.075;0.075;0.075;0.25;0.07;0.03;BiomassOxy_CC
0.075;0.075;0.1;0.075;0.03;0.018;Biomass
0.075;0.075;0.1;0.075;0.03;0.03;BioCH4
0.075;0.075;0.1;0.075;0.05;0.018;Biomass
0.075;0.075;0.1;0.075;0.05;0.03;Biomass
0.075;0.075;0.1;0.075;0.07;0.018;Biomass
0.075;0.075;0.1;0.075;0.07;0.03;Biomass
0.075;0.075;0.1;0.1;0.03;0.018;Biomass
0.075;0.075;0.1;0.1;0.03;0.03;BioCH4
0.075;0.075;0.1;0.1;0.05;0.018;Biomass
0.075;0.075;0.1;0.1;0.05;0.03;Biomass
0.075;0.075;0.1;0.1;0.07;0.018;Biomass
0.075;0.075;0.1;0.1;0.07;0.03;Biomass
0.075;0.075;0.1;0.2;0.03;0.018;BiomassOxy_CC
0.075;0.075;0.1;0.2;0.03;0.03;BioCH4Oxy_CC
0.075;0.075;0.1;0.2;0.05;0.018;BiomassOxy_CC
0.075;0.075;0.1;0.2;0.05;0.03;BiomassOxy_CC
0.075;0.075;0.1;0.2;0.07;0.018;BiomassOxy_CC
0.075;0.075;0.1;0.2;0.07;0.03;BiomassOxy_CC
0.075;0.075;0.1;0.25;0.03;0.018;BiomassOxy_CC
0.075;0.075;0.1;0.25;0.03;0.03;BioCH4Oxy_CC
0.075;0.075;0.1;0.25;0.05;0.018;BiomassOxy_CC
0.075;0.075;0.1;0.25;0.05;0.03;BiomassOxy_CC
0.075;0.075;0.1;0.25;0.07;0.018;BiomassOxy_CC
0.075;0.075;0.1;0.25;0.07;0.03;BiomassOxy_CC
0.075;0.1;0.01;0.075;0.03;0.018;Biomass
0.075;0.1;0.01;0.075;0.03;0.03;NG
0.075;0.1;0.01;0.075;0.05;0.018;Biomass
0.075;0.1;0.01;0.075;0.05;0.03;NG
0.075;0.1;0.01;0.075;0.07;0.018;Biomass
0.075;0.1;0.01;0.075;0.07;0.03;NG
0.075;0.1;0.01;0.1;0.03;0.018;Biomass
0.075;0.1;0.01;0.1;0.03;0.03;NG
0.075;0.1;0.01;0.1;0.05;0.018;Biomass
0.075;0.1;0.01;0.1;0.05;0.03;NG
0.075;0.1;0.01;0.1;0.07;0.018;Biomass
0.075;0.1;0.01;0.1;0.07;0.03;NG
0.075;0.1;0.01;0.2;0.03;0.018;Biomass_CC
0.075;0.1;0.01;0.2;0.03;0.03;BioCH4Oxy_CC
0.075;0.1;0.01;0.2;0.05;0.018;Biomass_CC
0.075;0.1;0.01;0.2;0.05;0.03;Biomass_CC
0.075;0.1;0.01;0.2;0.07;0.018;Biomass_CC
0.075;0.1;0.01;0.2;0.07;0.03;Biomass_CC
0.075;0.1;0.01;0.25;0.03;0.018;Biomass_CC
0.075;0.1;0.01;0.25;0.03;0.03;BioCH4Oxy_CC
0.075;0.1;0.01;0.25;0.05;0.018;Biomass_CC
0.075;0.1;0.01;0.25;0.05;0.03;Biomass_CC
0.075;0.1;0.01;0.25;0.07;0.018;Biomass_CC
0.075;0.1;0.01;0.25;0.07;0.03;Biomass_CC
0.075;0.1;0.035;0.075;0.03;0.018;Biomass
0.075;0.1;0.035;0.075;0.03;0.03;BioCH4
0.075;0.1;0.035;0.075;0.05;0.018;Biomass
0.075;0.1;0.035;0.075;0.05;0.03;Biomass
0.075;0.1;0.035;0.075;0.07;0.018;Biomass
0.075;0.1;0.035;0.075;0.07;0.03;Biomass
0.075;0.1;0.035;0.1;0.03;0.018;Biomass
0.075;0.1;0.035;0.1;0.03;0.03;BioCH4
0.075;0.1;0.035;0.1;0.05;0.018;Biomass
0.075;0.1;0.035;0.1;0.05;0.03;Biomass
0.075;0.1;0.035;0.1;0.07;0.018;Biomass
0.075;0.1;0.035;0.1;0.07;0.03;Biomass
0.075;0.1;0.035;0.2;0.03;0.018;BiomassOxy_CC
0.075;0.1;0.035;0.2;0.03;0.03;BioCH4Oxy_CC
0.075;0.1;0.035;0.2;0.05;0.018;BiomassOxy_CC
0.075;0.1;0.035;0.2;0.05;0.03;BiomassOxy_CC
0.075;0.1;0.035;0.2;0.07;0.018;BiomassOxy_CC
0.075;0.1;0.035;0.2;0.07;0.03;BiomassOxy_CC
0.075;0.1;0.035;0.25;0.03;0.018;BiomassOxy_CC
0.075;0.1;0.035;0.25;0.03;0.03;BioCH4Oxy_CC
0.075;0.1;0.035;0.25;0.05;0.018;BiomassOxy_CC
0.075;0.1;0.035;0.25;0.05;0.03;BiomassOxy_CC
0.075;0.1;0.035;0.25;0.07;0.018;BiomassOxy_CC
0.075;0.1;0.035;0.25;0.07;0.03;BiomassOxy_CC
0.075;0.1;0.055;0.075;0.03;0.018;Biomass
0.075;0.1;0.055;0.075;0.03;0.03;BioCH4
0.075;0.1;0.055;0.075;0.05;0.018;Biomass
0.075;0.1;0.055;0.075;0.05;0.03;Biomass
0.075;0.1;0.055;0.075;0.07;0.018;Biomass
0.075;0.1;0.055;0.075;0.07;0.03;Biomass
0.075;0.1;0.055;0.1;0.03;0.018;Biomass
0.075;0.1;0.055;0.1;0.03;0.03;BioCH4
0.075;0.1;0.055;0.1;0.05;0.018;Biomass
0.075;0.1;0.055;0.1;0.05;0.03;Biomass
0.075;0.1;0.055;0.1;0.07;0.018;Biomass
0.075;0.1;0.055;0.1;0.07;0.03;Biomass
0.075;0.1;0.055;0.2;0.03;0.018;BiomassOxy_CC
0.075;0.1;0.055;0.2;0.03;0.03;BioCH4Oxy_CC
0.075;0.1;0.055;0.2;0.05;0.018;BiomassOxy_CC
0.075;0.1;0.055;0.2;0.05;0.03;BiomassOxy_CC
0.075;0.1;0.055;0.2;0.07;0.018;BiomassOxy_CC
0.075;0.1;0.055;0.2;0.07;0.03;BiomassOxy_CC
0.075;0.1;0.055;0.25;0.03;0.018;BiomassOxy_CC
0.075;0.1;0.055;0.25;0.03;0.03;BioCH4Oxy_CC
0.075;0.1;0.055;0.25;0.05;0.018;BiomassOxy_CC
0.075;0.1;0.055;0.25;0.05;0.03;BiomassOxy_CC
0.075;0.1;0.055;0.25;0.07;0.018;BiomassOxy_CC
0.075;0.1;0.055;0.25;0.07;0.03;BiomassOxy_CC
0.075;0.1;0.075;0.075;0.03;0.018;Biomass
0.075;0.1;0.075;0.075;0.03;0.03;BioCH4
0.075;0.1;0.075;0.075;0.05;0.018;Biomass
0.075;0.1;0.075;0.075;0.05;0.03;Biomass
0.075;0.1;0.075;0.075;0.07;0.018;Biomass
0.075;0.1;0.075;0.075;0.07;0.03;Biomass
0.075;0.1;0.075;0.1;0.03;0.018;Biomass
0.075;0.1;0.075;0.1;0.03;0.03;BioCH4
0.075;0.1;0.075;0.1;0.05;0.018;Biomass
0.075;0.1;0.075;0.1;0.05;0.03;Biomass
0.075;0.1;0.075;0.1;0.07;0.018;Biomass
0.075;0.1;0.075;0.1;0.07;0.03;Biomass
0.075;0.1;0.075;0.2;0.03;0.018;BiomassOxy_CC
0.075;0.1;0.075;0.2;0.03;0.03;BioCH4Oxy_CC
0.075;0.1;0.075;0.2;0.05;0.018;BiomassOxy_CC
0.075;0.1;0.075;0.2;0.05;0.03;BiomassOxy_CC
0.075;0.1;0.075;0.2;0.07;0.018;BiomassOxy_CC
0.075;0.1;0.075;0.2;0.07;0.03;BiomassOxy_CC
0.075;0.1;0.075;0.25;0.03;0.018;BiomassOxy_CC
0.075;0.1;0.075;0.25;0.03;0.03;BioCH4Oxy_CC
0.075;0.1;0.075;0.25;0.05;0.018;BiomassOxy_CC
0.075;0.1;0.075;0.25;0.05;0.03;BiomassOxy_CC
0.075;0.1;0.075;0.25;0.07;0.018;BiomassOxy_CC
0.075;0.1;0.075;0.25;0.07;0.03;BiomassOxy_CC
0.075;0.1;0.1;0.075;0.03;0.018;Biomass
0.075;0.1;0.1;0.075;0.03;0.03;BioCH4
0.075;0.1;0.1;0.075;0.05;0.018;Biomass
0.075;0.1;0.1;0.075;0.05;0.03;Biomass
0.075;0.1;0.1;0.075;0.07;0.018;Biomass
0.075;0.1;0.1;0.075;0.07;0.03;Biomass
0.075;0.1;0.1;0.1;0.03;0.018;Biomass
0.075;0.1;0.1;0.1;0.03;0.03;BioCH4
0.075;0.1;0.1;0.1;0.05;0.018;Biomass
0.075;0.1;0.1;0.1;0.05;0.03;Biomass
0.075;0.1;0.1;0.1;0.07;0.018;Biomass
0.075;0.1;0.1;0.1;0.07;0.03;Biomass
0.075;0.1;0.1;0.2;0.03;0.018;BiomassOxy_CC
0.075;0.1;0.1;0.2;0.03;0.03;BioCH4Oxy_CC
0.075;0.1;0.1;0.2;0.05;0.018;BiomassOxy_CC
0.075;0.1;0.1;0.2;0.05;0.03;BiomassOxy_CC
0.075;0.1;0.1;0.2;0.07;0.018;BiomassOxy_CC
0.075;0.1;0.1;0.2;0.07;0.03;BiomassOxy_CC
0.075;0.1;0.1;0.25;0.03;0.018;BiomassOxy_CC
0.075;0.1;0.1;0.25;0.03;0.03;BioCH4Oxy_CC
0.075;0.1;0.1;0.25;0.05;0.018;BiomassOxy_CC
0.075;0.1;0.1;0.25;0.05;0.03;BiomassOxy_CC
0.075;0.1;0.1;0.25;0.07;0.018;BiomassOxy_CC
0.075;0.1;0.1;0.25;0.07;0.03;BiomassOxy_CC
0.075;0.15;0.01;0.075;0.03;0.018;Biomass
0.075;0.15;0.01;0.075;0.03;0.03;NG
0.075;0.15;0.01;0.075;0.05;0.018;Biomass
0.075;0.15;0.01;0.075;0.05;0.03;NG
0.075;0.15;0.01;0.075;0.07;0.018;Biomass
0.075;0.15;0.01;0.075;0.07;0.03;NG
0.075;0.15;0.01;0.1;0.03;0.018;Biomass
0.075;0.15;0.01;0.1;0.03;0.03;NG
0.075;0.15;0.01;0.1;0.05;0.018;Biomass
0.075;0.15;0.01;0.1;0.05;0.03;NG
0.075;0.15;0.01;0.1;0.07;0.018;Biomass
0.075;0.15;0.01;0.1;0.07;0.03;NG
0.075;0.15;0.01;0.2;0.03;0.018;Biomass_CC
0.075;0.15;0.01;0.2;0.03;0.03;BioCH4Oxy_CC
0.075;0.15;0.01;0.2;0.05;0.018;Biomass_CC
0.075;0.15;0.01;0.2;0.05;0.03;Biomass_CC
0.075;0.15;0.01;0.2;0.07;0.018;Biomass_CC
0.075;0.15;0.01;0.2;0.07;0.03;Biomass_CC
0.075;0.15;0.01;0.25;0.03;0.018;Biomass_CC
0.075;0.15;0.01;0.25;0.03;0.03;BioCH4Oxy_CC
0.075;0.15;0.01;0.25;0.05;0.018;Biomass_CC
0.075;0.15;0.01;0.25;0.05;0.03;Biomass_CC
0.075;0.15;0.01;0.25;0.07;0.018;Biomass_CC
0.075;0.15;0.01;0.25;0.07;0.03;Biomass_CC
0.075;0.15;0.035;0.075;0.03;0.018;Biomass
0.075;0.15;0.035;0.075;0.03;0.03;BioCH4
0.075;0.15;0.035;0.075;0.05;0.018;Biomass
0.075;0.15;0.035;0.075;0.05;0.03;Biomass
0.075;0.15;0.035;0.075;0.07;0.018;Biomass
0.075;0.15;0.035;0.075;0.07;0.03;Biomass
0.075;0.15;0.035;0.1;0.03;0.018;Biomass
0.075;0.15;0.035;0.1;0.03;0.03;BioCH4
0.075;0.15;0.035;0.1;0.05;0.018;Biomass
0.075;0.15;0.035;0.1;0.05;0.03;Biomass
0.075;0.15;0.035;0.1;0.07;0.018;Biomass
0.075;0.15;0.035;0.1;0.07;0.03;Biomass
0.075;0.15;0.035;0.2;0.03;0.018;BiomassOxy_CC
0.075;0.15;0.035;0.2;0.03;0.03;BioCH4Oxy_CC
0.075;0.15;0.035;0.2;0.05;0.018;BiomassOxy_CC
0.075;0.15;0.035;0.2;0.05;0.03;BiomassOxy_CC
0.075;0.15;0.035;0.2;0.07;0.018;BiomassOxy_CC
0.075;0.15;0.035;0.2;0.07;0.03;BiomassOxy_CC
0.075;0.15;0.035;0.25;0.03;0.018;BiomassOxy_CC
0.075;0.15;0.035;0.25;0.03;0.03;BioCH4Oxy_CC
0.075;0.15;0.035;0.25;0.05;0.018;BiomassOxy_CC
0.075;0.15;0.035;0.25;0.05;0.03;BiomassOxy_CC
0.075;0.15;0.035;0.25;0.07;0.018;BiomassOxy_CC
0.075;0.15;0.035;0.25;0.07;0.03;BiomassOxy_CC
0.075;0.15;0.055;0.075;0.03;0.018;Biomass
0.075;0.15;0.055;0.075;0.03;0.03;BioCH4
0.075;0.15;0.055;0.075;0.05;0.018;Biomass
0.075;0.15;0.055;0.075;0.05;0.03;Biomass
0.075;0.15;0.055;0.075;0.07;0.018;Biomass
0.075;0.15;0.055;0.075;0.07;0.03;Biomass
0.075;0.15;0.055;0.1;0.03;0.018;Biomass
0.075;0.15;0.055;0.1;0.03;0.03;BioCH4
0.075;0.15;0.055;0.1;0.05;0.018;Biomass
0.075;0.15;0.055;0.1;0.05;0.03;Biomass
0.075;0.15;0.055;0.1;0.07;0.018;Biomass
0.075;0.15;0.055;0.1;0.07;0.03;Biomass
0.075;0.15;0.055;0.2;0.03;0.018;BiomassOxy_CC
0.075;0.15;0.055;0.2;0.03;0.03;BioCH4Oxy_CC
0.075;0.15;0.055;0.2;0.05;0.018;BiomassOxy_CC
0.075;0.15;0.055;0.2;0.05;0.03;BiomassOxy_CC
0.075;0.15;0.055;0.2;0.07;0.018;BiomassOxy_CC
0.075;0.15;0.055;0.2;0.07;0.03;BiomassOxy_CC
0.075;0.15;0.055;0.25;0.03;0.018;BiomassOxy_CC
0.075;0.15;0.055;0.25;0.03;0.03;BioCH4Oxy_CC
0.075;0.15;0.055;0.25;0.05;0.018;BiomassOxy_CC
0.075;0.15;0.055;0.25;0.05;0.03;BiomassOxy_CC
0.075;0.15;0.055;0.25;0.07;0.018;BiomassOxy_CC
0.075;0.15;0.055;0.25;0.07;0.03;BiomassOxy_CC
0.075;0.15;0.075;0.075;0.03;0.018;Biomass
0.075;0.15;0.075;0.075;0.03;0.03;BioCH4
0.075;0.15;0.075;0.075;0.05;0.018;Biomass
0.075;0.15;0.075;0.075;0.05;0.03;Biomass
0.075;0.15;0.075;0.075;0.07;0.018;Biomass
0.075;0.15;0.075;0.075;0.07;0.03;Biomass
0.075;0.15;0.075;0.1;0.03;0.018;Biomass
0.075;0.15;0.075;0.1;0.03;0.03;BioCH4
0.075;0.15;0.075;0.1;0.05;0.018;Biomass
0.075;0.15;0.075;0.1;0.05;0.03;Biomass
0.075;0.15;0.075;0.1;0.07;0.018;Biomass
0.075;0.15;0.075;0.1;0.07;0.03;Biomass
0.075;0.15;0.075;0.2;0.03;0.018;BiomassOxy_CC
0.075;0.15;0.075;0.2;0.03;0.03;BioCH4Oxy_CC
0.075;0.15;0.075;0.2;0.05;0.018;BiomassOxy_CC
0.075;0.15;0.075;0.2;0.05;0.03;BiomassOxy_CC
0.075;0.15;0.075;0.2;0.07;0.018;BiomassOxy_CC
0.075;0.15;0.075;0.2;0.07;0.03;BiomassOxy_CC
0.075;0.15;0.075;0.25;0.03;0.018;BiomassOxy_CC
0.075;0.15;0.075;0.25;0.03;0.03;BioCH4Oxy_CC
0.075;0.15;0.075;0.25;0.05;0.018;BiomassOxy_CC
0.075;0.15;0.075;0.25;0.05;0.03;BiomassOxy_CC
0.075;0.15;0.075;0.25;0.07;0.018;BiomassOxy_CC
0.075;0.15;0.075;0.25;0.07;0.03;BiomassOxy_CC
0.075;0.15;0.1;0.075;0.03;0.018;Biomass
0.075;0.15;0.1;0.075;0.03;0.03;BioCH4
0.075;0.15;0.1;0.075;0.05;0.018;Biomass
0.075;0.15;0.1;0.075;0.05;0.03;Biomass
0.075;0.15;0.1;0.075;0.07;0.018;Biomass
0.075;0.15;0.1;0.075;0.07;0.03;Biomass
0.075;0.15;0.1;0.1;0.03;0.018;Biomass
0.075;0.15;0.1;0.1;0.03;0.03;BioCH4
0.075;0.15;0.1;0.1;0.05;0.018;Biomass
0.075;0.15;0.1;0.1;0.05;0.03;Biomass
0.075;0.15;0.1;0.1;0.07;0.018;Biomass
0.075;0.15;0.1;0.1;0.07;0.03;Biomass
0.075;0.15;0.1;0.2;0.03;0.018;BiomassOxy_CC
0.075;0.15;0.1;0.2;0.03;0.03;BioCH4Oxy_CC
0.075;0.15;0.1;0.2;0.05;0.018;BiomassOxy_CC
0.075;0.15;0.1;0.2;0.05;0.03;BiomassOxy_CC
0.075;0.15;0.1;0.2;0.07;0.018;BiomassOxy_CC
0.075;0.15;0.1;0.2;0.07;0.03;BiomassOxy_CC
0.075;0.15;0.1;0.25;0.03;0.018;BiomassOxy_CC
0.075;0.15;0.1;0.25;0.03;0.03;BioCH4Oxy_CC
0.075;0.15;0.1;0.25;0.05;0.018;BiomassOxy_CC
0.075;0.15;0.1;0.25;0.05;0.03;BiomassOxy_CC
0.075;0.15;0.1;0.25;0.07;0.018;BiomassOxy_CC
0.075;0.15;0.1;0.25;0.07;0.03;BiomassOxy_CC
0.075;0.2;0.01;0.075;0.03;0.018;Biomass
0.075;0.2;0.01;0.075;0.03;0.03;NG
0.075;0.2;0.01;0.075;0.05;0.018;Biomass
0.075;0.2;0.01;0.075;0.05;0.03;NG
0.075;0.2;0.01;0.075;0.07;0.018;Biomass
0.075;0.2;0.01;0.075;0.07;0.03;NG
0.075;0.2;0.01;0.1;0.03;0.018;Biomass
0.075;0.2;0.01;0.1;0.03;0.03;NG
0.075;0.2;0.01;0.1;0.05;0.018;Biomass
0.075;0.2;0.01;0.1;0.05;0.03;NG
0.075;0.2;0.01;0.1;0.07;0.018;Biomass
0.075;0.2;0.01;0.1;0.07;0.03;NG
0.075;0.2;0.01;0.2;0.03;0.018;Biomass_CC
0.075;0.2;0.01;0.2;0.03;0.03;BioCH4Oxy_CC
0.075;0.2;0.01;0.2;0.05;0.018;Biomass_CC
0.075;0.2;0.01;0.2;0.05;0.03;Biomass_CC
0.075;0.2;0.01;0.2;0.07;0.018;Biomass_CC
0.075;0.2;0.01;0.2;0.07;0.03;Biomass_CC
0.075;0.2;0.01;0.25;0.03;0.018;Biomass_CC
0.075;0.2;0.01;0.25;0.03;0.03;BioCH4Oxy_CC
0.075;0.2;0.01;0.25;0.05;0.018;Biomass_CC
0.075;0.2;0.01;0.25;0.05;0.03;Biomass_CC
0.075;0.2;0.01;0.25;0.07;0.018;Biomass_CC
0.075;0.2;0.01;0.25;0.07;0.03;Biomass_CC
0.075;0.2;0.035;0.075;0.03;0.018;Biomass
0.075;0.2;0.035;0.075;0.03;0.03;BioCH4
0.075;0.2;0.035;0.075;0.05;0.018;Biomass
0.075;0.2;0.035;0.075;0.05;0.03;Biomass
0.075;0.2;0.035;0.075;0.07;0.018;Biomass
0.075;0.2;0.035;0.075;0.07;0.03;Biomass
0.075;0.2;0.035;0.1;0.03;0.018;Biomass
0.075;0.2;0.035;0.1;0.03;0.03;BioCH4
0.075;0.2;0.035;0.1;0.05;0.018;Biomass
0.075;0.2;0.035;0.1;0.05;0.03;Biomass
0.075;0.2;0.035;0.1;0.07;0.018;Biomass
0.075;0.2;0.035;0.1;0.07;0.03;Biomass
0.075;0.2;0.035;0.2;0.03;0.018;BiomassOxy_CC
0.075;0.2;0.035;0.2;0.03;0.03;BioCH4Oxy_CC
0.075;0.2;0.035;0.2;0.05;0.018;BiomassOxy_CC
0.075;0.2;0.035;0.2;0.05;0.03;BiomassOxy_CC
0.075;0.2;0.035;0.2;0.07;0.018;BiomassOxy_CC
0.075;0.2;0.035;0.2;0.07;0.03;BiomassOxy_CC
0.075;0.2;0.035;0.25;0.03;0.018;BiomassOxy_CC
0.075;0.2;0.035;0.25;0.03;0.03;BioCH4Oxy_CC
0.075;0.2;0.035;0.25;0.05;0.018;BiomassOxy_CC
0.075;0.2;0.035;0.25;0.05;0.03;BiomassOxy_CC
0.075;0.2;0.035;0.25;0.07;0.018;BiomassOxy_CC
0.075;0.2;0.035;0.25;0.07;0.03;BiomassOxy_CC
0.075;0.2;0.055;0.075;0.03;0.018;Biomass
0.075;0.2;0.055;0.075;0.03;0.03;BioCH4
0.075;0.2;0.055;0.075;0.05;0.018;Biomass
0.075;0.2;0.055;0.075;0.05;0.03;Biomass
0.075;0.2;0.055;0.075;0.07;0.018;Biomass
0.075;0.2;0.055;0.075;0.07;0.03;Biomass
0.075;0.2;0.055;0.1;0.03;0.018;Biomass
0.075;0.2;0.055;0.1;0.03;0.03;BioCH4
0.075;0.2;0.055;0.1;0.05;0.018;Biomass
0.075;0.2;0.055;0.1;0.05;0.03;Biomass
0.075;0.2;0.055;0.1;0.07;0.018;Biomass
0.075;0.2;0.055;0.1;0.07;0.03;Biomass
0.075;0.2;0.055;0.2;0.03;0.018;BiomassOxy_CC
0.075;0.2;0.055;0.2;0.03;0.03;BioCH4Oxy_CC
0.075;0.2;0.055;0.2;0.05;0.018;BiomassOxy_CC
0.075;0.2;0.055;0.2;0.05;0.03;BiomassOxy_CC
0.075;0.2;0.055;0.2;0.07;0.018;BiomassOxy_CC
0.075;0.2;0.055;0.2;0.07;0.03;BiomassOxy_CC
0.075;0.2;0.055;0.25;0.03;0.018;BiomassOxy_CC
0.075;0.2;0.055;0.25;0.03;0.03;BioCH4Oxy_CC
0.075;0.2;0.055;0.25;0.05;0.018;BiomassOxy_CC
0.075;0.2;0.055;0.25;0.05;0.03;BiomassOxy_CC
0.075;0.2;0.055;0.25;0.07;0.018;BiomassOxy_CC
0.075;0.2;0.055;0.25;0.07;0.03;BiomassOxy_CC
0.075;0.2;0.075;0.075;0.03;0.018;Biomass
0.075;0.2;0.075;0.075;0.03;0.03;BioCH4
0.075;0.2;0.075;0.075;0.05;0.018;Biomass
0.075;0.2;0.075;0.075;0.05;0.03;Biomass
0.075;0.2;0.075;0.075;0.07;0.018;Biomass
0.075;0.2;0.075;0.075;0.07;0.03;Biomass
0.075;0.2;0.075;0.1;0.03;0.018;Biomass
0.075;0.2;0.075;0.1;0.03;0.03;BioCH4
0.075;0.2;0.075;0.1;0.05;0.018;Biomass
0.075;0.2;0.075;0.1;0.05;0.03;Biomass
0.075;0.2;0.075;0.1;0.07;0.018;Biomass
0.075;0.2;0.075;0.1;0.07;0.03;Biomass
0.075;0.2;0.075;0.2;0.03;0.018;BiomassOxy_CC
0.075;0.2;0.075;0.2;0.03;0.03;BioCH4Oxy_CC
0.075;0.2;0.075;0.2;0.05;0.018;BiomassOxy_CC
0.075;0.2;0.075;0.2;0.05;0.03;BiomassOxy_CC
0.075;0.2;0.075;0.2;0.07;0.018;BiomassOxy_CC
0.075;0.2;0.075;0.2;0.07;0.03;BiomassOxy_CC
0.075;0.2;0.075;0.25;0.03;0.018;BiomassOxy_CC
0.075;0.2;0.075;0.25;0.03;0.03;BioCH4Oxy_CC
0.075;0.2;0.075;0.25;0.05;0.018;BiomassOxy_CC
0.075;0.2;0.075;0.25;0.05;0.03;BiomassOxy_CC
0.075;0.2;0.075;0.25;0.07;0.018;BiomassOxy_CC
0.075;0.2;0.075;0.25;0.07;0.03;BiomassOxy_CC
0.075;0.2;0.1;0.075;0.03;0.018;Biomass
0.075;0.2;0.1;0.075;0.03;0.03;BioCH4
0.075;0.2;0.1;0.075;0.05;0.018;Biomass
0.075;0.2;0.1;0.075;0.05;0.03;Biomass
0.075;0.2;0.1;0.075;0.07;0.018;Biomass
0.075;0.2;0.1;0.075;0.07;0.03;Biomass
0.075;0.2;0.1;0.1;0.03;0.018;Biomass
0.075;0.2;0.1;0.1;0.03;0.03;BioCH4
0.075;0.2;0.1;0.1;0.05;0.018;Biomass
0.075;0.2;0.1;0.1;0.05;0.03;Biomass
0.075;0.2;0.1;0.1;0.07;0.018;Biomass
0.075;0.2;0.1;0.1;0.07;0.03;Biomass
0.075;0.2;0.1;0.2;0.03;0.018;BiomassOxy_CC
0.075;0.2;0.1;0.2;0.03;0.03;BioCH4Oxy_CC
0.075;0.2;0.1;0.2;0.05;0.018;BiomassOxy_CC
0.075;0.2;0.1;0.2;0.05;0.03;BiomassOxy_CC
0.075;0.2;0.1;0.2;0.07;0.018;BiomassOxy_CC
